Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Cation of Electrolyte ,[C] of Cation (M),Anion of Electrolyte ,[C] of anion (M),Membrane,H2,CO,C1,C2+,,DOI
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-0.846,K+,0.1,HCO3每,0.1,proton exchange membrane,24.4,19.6,26.27,29.74,,10.1038/s41467-022-32601-9
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-0.926,K+,0.1,HCO3每,0.1,proton exchange membrane,16.8,9.2,16.72,57.28,,
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-0.98,K+,0.1,HCO3每,0.1,proton exchange membrane,15.2,6.8,15.73,62.27,,
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-1.05,K+,0.1,HCO3每,0.1,proton exchange membrane,13.6,4,9.57,72.83,,
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-1.106,K+,0.1,HCO3每,0.1,proton exchange membrane,10,2.4,17.23,70.37,,
Cu2(OH)2CO3,nanocrystal,glassy carbon,11.81,-1.172,K+,0.1,HCO3每,0.1,proton exchange membrane,12,2,19.49,66.51,,
Cu(OH)2,nanocrystal,glassy carbon,11.72,-0.821,K+,0.1,HCO3每,0.1,proton exchange membrane,18.8,28.4,27.65,25.15,,
Cu(OH)2,nanocrystal,glassy carbon,11.72,-0.918,K+,0.1,HCO3每,0.1,proton exchange membrane,15.6,20.8,20.26,43.34,,
Cu(OH)2,nanocrystal,glassy carbon,11.72,-0.968,K+,0.1,HCO3每,0.1,proton exchange membrane,16.4,16.8,16.84,49.96,,
Cu(OH)2,nanocrystal,glassy carbon,11.72,-1.084,K+,0.1,HCO3每,0.1,proton exchange membrane,10.8,6,11.32,71.88,,
Cu(OH)2,nanocrystal,glassy carbon,11.72,-1.224,K+,0.1,HCO3每,0.1,proton exchange membrane,20.4,4,7.73,67.87,,
CuxO,nanocrystal,glassy carbon,11.69,-0.851,K+,0.1,HCO3每,0.1,proton exchange membrane,45.8,9.2,20.67,24.33,,
CuxO,nanocrystal,glassy carbon,11.69,-0.957,K+,0.1,HCO3每,0.1,proton exchange membrane,36.14,4.02,12.45,47.39,,
CuxO,nanocrystal,glassy carbon,11.69,-1.051,K+,0.1,HCO3每,0.1,proton exchange membrane,23.29,2.41,6.14,68.16,,
CuxO,nanocrystal,glassy carbon,11.69,-1.162,K+,0.1,HCO3每,0.1,proton exchange membrane,0.26,27.04,4.05,68.65,,
CuxO,nanocrystal,glassy carbon,11.69,-1.245,K+,0.1,HCO3每,0.1,proton exchange membrane,34.54,1.6,3.92,59.94,,
Cu,nanowire,glassy carbon,29,-0.808,K+,0.1,HCO3每,0.1,proton exchange membrane,37.75,9.24,51.41,1.6,,
Cu,nanowire,glassy carbon,29,-0.958,K+,0.1,HCO3每,0.1,proton exchange membrane,25.3,7.6,32.13,34.97,,
Cu,nanowire,glassy carbon,29,-1.029,K+,0.1,HCO3每,0.1,proton exchange membrane,23.86,4.65,26.1,45.39,,
Cu,nanowire,glassy carbon,29,-1.06,K+,0.1,HCO3每,0.1,proton exchange membrane,22.09,3.61,26.51,47.79,,
Cu,nanowire,glassy carbon,29,-1.101,K+,0.1,HCO3每,0.1,proton exchange membrane,39.36,4.42,38.15,18.07,,
Cu,nanoparticle,Cu,50,-1,K+,0.1,HCO3每,0.1,anion exchange membrane,20.09,15.07,46.08,18.77,,10.1038/s41467-022-30819-1
Cu,nanoparticle,glassy carbon,2.3,-1.1,K+,0.1,HCO3每,0.1,glass frit,61.1,26.48,12.22,1.11,,10.1021/ja500328k
Cu,nanoparticle,glassy carbon,4.8,-1.1,K+,0.1,HCO3每,0.1,glass frit,68.15,12.04,15.74,4.44,,
Cu,nanoparticle,glassy carbon,6.7,-1.1,K+,0.1,HCO3每,0.1,glass frit,69.81,20.74,9.82,0.19,,
Cu,nanoparticle,glassy carbon,13.1,-1.1,K+,0.1,HCO3每,0.1,glass frit,64.26,20.56,6.85,8.33,,
Cu,nanoparticle,glassy carbon,15.1,-1.1,K+,0.1,HCO3每,0.1,glass frit,59.81,25.55,12.96,2.22,,
Cu,nanoparticle,carbon paper,7,-0.8,K+,0.1,HCO3每,0.1,anion exchange membrane,34.68,10.95,10.07,44.3,,10.1038/s41586-022-05540-0
Cu,nanoparticle,carbon paper,10,-0.8,K+,0.1,HCO3每,0.1,anion exchange membrane,46.97,13.73,12.1,27.2,,
Cu,nanoparticle,carbon paper,18,-0.8,K+,0.1,HCO3每,0.1,anion exchange membrane,47.35,21.82,23.93,6.9,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,11.22,2.68,29.27,46.59,,10.1021/cs500537y
Cu,nanoparticle,Vulcan XC-72R,12,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,15.37,4.39,15.12,43.41,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,20.98,10.24,15.85,34.63,,
Cu,nanoparticle,Vulcan XC-72R,12,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,29.51,20.24,1.22,10.98,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.8,K+,0.1,HCO3每,0.1,proton exchange membrane,51.95,16.1,0,0,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.6,K+,0.1,HCO3每,0.1,proton exchange membrane,72.68,15.12,0.98,0,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,15.85,2.68,32.68,43.17,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,21.22,3.9,29.76,35.61,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,22.44,7.8,16.59,35.85,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,39.51,18.05,1.22,15.61,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.8,K+,0.1,HCO3每,0.1,proton exchange membrane,43.66,15.61,0,0,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.6,K+,0.1,HCO3每,0.1,proton exchange membrane,83.66,9.27,0,0,,
Cu,nanoparticle,Ketjen Black,24,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,14.39,2.2,42.93,33.9,,
Cu,nanoparticle,Ketjen Black,24,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,16.59,3.41,28.54,34.15,,
Cu,nanoparticle,Ketjen Black,24,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,27.56,3.9,13.41,15.12,,
Cu,nanoparticle,Ketjen Black,24,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,42.1,14.88,4.63,8.29,,
Cu,nanoparticle,Ketjen Black,24,-0.8,K+,0.1,HCO3每,0.1,proton exchange membrane,50.24,5.37,1.22,0.24,,
Cu,nanoparticle,Ketjen Black,24,-0.6,K+,0.1,HCO3每,0.1,proton exchange membrane,86.83,8.05,0,0,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,18.05,0.98,34.39,37.07,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,19.51,2.93,34.15,32.44,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,25.85,6.83,22.93,25.12,,
Cu,nanoparticle,Vulcan XC-72R,27,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,49.02,10.73,1.46,3.9,,
Cu,nanoparticle,Vulcan XC-72R,27,-0.8,K+,0.1,HCO3每,0.1,proton exchange membrane,60.24,3.9,0,0,,
