Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),CO selectivity (%),Methanol selectivity (%),STY_CH3OH (g/kg·h) (LN scale),CO2 conversion efficiency (%),,,,DOI,Name,Year
2,Null,,Null,,3.104586678,Co-precipitation,350,4,200,30,3,10.08580911,39.9504,60.0496,4.680056676,2.12687,,,,10.1016/j.apcatb.2022.122233,Boosting CO2 hydrogenation to methanol by adding trace amount of Au into Cu/ZnO catalysts,2023
2,Null,,Null,,3.104586678,Co-precipitation,350,4,225,30,3,10.08580911,46.8983,53.1017,5.077314746,3.50746,,,,10.1016/j.apcatb.2022.122233,,2023
2,Null,,Null,,3.104586678,Co-precipitation,350,4,250,30,3,10.08580911,65.2605,34.7395,5.188692696,6.00746,,,,10.1016/j.apcatb.2022.122233,,2023
2,Null,,Null,,3.104586678,Co-precipitation,350,4,275,30,3,10.08580911,78.1638,21.8362,5.284745187,10.0224,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.001,Null,,3.46260601,Co-precipitation,350,4,200,30,3,10.08580911,23.0769,76.9231,5.040798633,2.31343,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.001,Null,,3.46260601,Co-precipitation,350,4,225,30,3,10.08580911,34.4913,65.5087,5.452940214,4.1791,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.001,Null,,3.46260601,Co-precipitation,350,4,250,30,3,10.08580911,48.3871,51.6129,5.623928547,6.23134,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.001,Null,,3.46260601,Co-precipitation,350,4,275,30,3,10.08580911,70.2233,29.7767,5.681545264,11.6045,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.005,Null,,3.465735903,Co-precipitation,350,4,200,30,3,10.08580911,18.6104,81.3896,5.197816118,2.54325,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.005,Null,,3.465735903,Co-precipitation,350,4,225,30,3,10.08580911,30.7692,69.2308,5.575318888,4.37872,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.005,Null,,3.465735903,Co-precipitation,350,4,250,30,3,10.08580911,42.1836,57.8164,5.751803137,6.30551,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.005,Null,,3.465735903,Co-precipitation,350,4,275,30,3,10.08580911,69.0722,30.9278,5.807624384,9.77035,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.02,Null,,3.242592351,Co-precipitation,350,4,200,30,3,10.08580911,22.0844,77.9156,4.986205139,2.16965,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.02,Null,,3.242592351,Co-precipitation,350,4,225,30,3,10.08580911,32.2581,67.7419,5.435191472,3.91121,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.02,Null,,3.242592351,Co-precipitation,350,4,250,30,3,10.08580911,43.9206,56.0794,5.670284439,5.97653,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.02,Null,,3.242592351,Co-precipitation,350,4,275,30,3,10.08580911,68.2382,31.7618,5.692680694,10.0269,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.05,Null,,3.222867846,Co-precipitation,350,4,200,30,3,10.08580911,31.7618,68.2382,4.592503026,1.65518,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.05,Null,,3.222867846,Co-precipitation,350,4,225,30,3,10.08580911,41.4392,58.5608,5.237871758,3.72311,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.05,Null,,3.222867846,Co-precipitation,350,4,250,30,3,10.08580911,50.3722,49.6278,5.527496058,5.83591,,,,10.1016/j.apcatb.2022.122233,,2023
2,Au,0.05,Null,,3.222867846,Co-precipitation,350,4,275,30,3,10.08580911,71.7122,28.2878,5.623928547,9.41265,,,,10.1016/j.apcatb.2022.122233,,2023
0.4587,Al,2.2568,Zr,0.0413,4.234106505,Co-precipitation,500,5,250,50,3.04,8.29404964,38.5,61.5,5.392262979,25.9,,,,10.1016/j.jcou.2016.01.005,Catalytic performance of spray-dried Cu/ZnO/Al2O3/ZrO2 catalysts for slurry methanol synthesis from CO2 hydrogenation,2016
0.4566,Al,2.8128,Zr,0.0411,4.317488114,Co-precipitation,500,5,250,50,3.04,8.29404964,39.4,60.6,5.350435321,25.2,,,,10.1016/j.jcou.2016.01.005,,2016
0.4525,Al,3.3304,Zr,0.0407,4.356708827,Co-precipitation,500,5,250,50,3.04,8.29404964,41.3,58.7,5.298817242,24.7,,,,10.1016/j.jcou.2016.01.005,,2016
0.4484,Al,4.016,Zr,0.0404,4.406719247,Co-precipitation,500,5,250,50,3.04,8.29404964,42.3,57.7,5.240688254,23.7,,,,10.1016/j.jcou.2016.01.005,,2016
0.4525,Al,4.8868,Zr,0.0407,4.477336814,Co-precipitation,500,5,250,50,3.04,8.29404964,44.8,55.2,5.131672289,22.2,,,,10.1016/j.jcou.2016.01.005,,2016
0.4587,Al,2.2568,Zr,0.0413,4.234106505,Co-precipitation,500,5,220,30,3.04,8.29404964,38.9,61.1,3.60004824,8.5,,,,10.1016/j.jcou.2016.01.005,,2016
0.4566,Al,2.8128,Zr,0.0411,4.317488114,Co-precipitation,500,5,220,30,3.04,8.29404964,36.5,63.5,3.958906591,11.8,,,,10.1016/j.jcou.2016.01.005,,2016
0.4525,Al,3.3304,Zr,0.0407,4.356708827,Co-precipitation,500,5,220,30,3.04,8.29404964,38.3,61.7,4.070734697,13.6,,,,10.1016/j.jcou.2016.01.005,,2016
0.4484,Al,4.016,Zr,0.0404,4.406719247,Co-precipitation,500,5,220,30,3.04,8.29404964,41.8,58.2,3.931825633,12.5,,,,10.1016/j.jcou.2016.01.005,,2016
0.4525,Al,4.8868,Zr,0.0407,4.477336814,Co-precipitation,500,5,220,30,3.04,8.29404964,46.2,53.8,3.490428515,8.6,,,,10.1016/j.jcou.2016.01.005,,2016
0.7319,Zr,0.6616,Null,,5.093750201,Co-precipitation,350,2,200,20,3,9.655026193,30.04296917,65.3151,4.67186666,2.90644,,,,10.1016/j.cej.2017.02.010,CO2 hydrogenation to methanol over CuO–ZnO–ZrO2–SiO2 catalysts: Effects of SiO2 contents,2017
0.7319,Zr,0.6616,Null,,5.093750201,Co-precipitation,350,2,220,20,3,9.655026193,52.18500966,47.7808,5.07568471,5.97586,,,,10.1016/j.cej.2017.02.010,,2017
0.7319,Zr,0.6616,Null,,5.093750201,Co-precipitation,350,2,240,20,3,9.655026193,68.16337482,32,5.270866061,10.8581,,,,10.1016/j.cej.2017.02.010,,2017
0.7319,Zr,0.6616,Null,,5.093750201,Co-precipitation,350,2,260,20,3,9.655026193,86.72460764,14.4658,4.771388648,14.52731,,,,10.1016/j.cej.2017.02.010,,2017
0.7319,Zr,0.6616,Null,,5.093750201,Co-precipitation,350,2,280,20,3,9.655026193,91.58416516,9.20548,4.59071055,19.02298,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350,2,200,20,3,9.655026193,25.25559416,69.9178,5.000624905,3.78665,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350,2,220,20,3,9.655026193,48.73486062,50.411,5.273504354,6.91083,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350,2,240,20,3,9.655026193,65.22752142,34.411,5.425365392,11.79304,,,,10.1016/j.cej.2017.02.010,,2017
